X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
11.4066,33.2548,524,2015/07/06 00:00:00+00,Partially Verified,Mediterranean,9,,Unknown,Unknown,Central Mediterranean,Bodies found off the coast of Ben Guerdane,1,8,,,IOM Tunisia via Tunisian Coast Guard,http://missingmigrants.iom.int/node/926,Bodies found on July 6th and 9th in state of decomposition. Date(s) on which deaths occurred is undetermined. ,Yes,Presumed drowning,,
2.10938,49.6107,526,2015/06/29 00:00:00+00,Partially Verified,Europe,1,,Eritrea,Horn of Africa,From Calais to the UK,,1,,,,Calais Migrant Solidarity,http://bit.ly/1OOb8Ik,,Yes,Hit by vehicle,,
-92.8139,17.7212,529,2015/06/26 00:00:00+00,Partially Verified,Central America incl. Mexico,9,,Guatemala and El Salvador,Central America,,"Municipality of Jalapa. About 55 km south east of Villahermosa, Tabasco while crossing the San Marcos River",,,,,El Universo,http://bit.ly/1glFaYh,Not clear if this was a migration-related incident - i.e. if the status of migrant was a (indirect) causal factor in their death and if their death occurred while in transit to an international destination. ,Yes,Vehicle accident,,
1.78408,50.9223,530,2015/06/26 00:00:00+00,Partially Verified,Europe,1,,Eritrea,Horn of Africa,Channel Tunnel from France to the UK,"Channel Tunnel, French side near Calais terminal",,1,,,The Guardian,http://bit.ly/1KNxevI,,Yes,Fell from train,,
27.4196,37.0059,531,2015/06/23 00:00:00+00,Partially Verified,Mediterranean,6,,Syrian,MENA,Eastern Mediterranean,3.2 kilometers from Bodrum,,,,,Turkey Agenda,http://www.turkeyagenda.com/boat-carrying-migrants-sinks-in-aegean-sea-6-dead-2558.html,,Yes,Drowning,,
13.95646084,35.6459552200001,532,2015/06/23 00:00:00+00,Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean ,Off the coast of Libya,,,,,IOM Rome,http://missingmigrants.iom.int/node/920,,Yes,Shot,,
15.4688,34.3071,536,2015/06/17 00:00:00+00,Verified,Mediterranean,3,,Gambia (2) Guinea  Bissau (1),Sub-Saharan Africa,Central Mediterranean,,,,,,IOM Rome,http://missingmigrants.iom.int/node/914,,Yes,Drowning,,
-110.331,29.2972,543,2015/06/02 00:00:00+00,Partially Verified,Central America incl. Mexico,3,,Unknown,Central America,Central America to United States,,,,,,Yahoo! News,https://news.yahoo.com/death-trap-mexico-must-probe-migrant-attacks-amnesty-234527485.html,,Yes,Violent robbery,,
1.40625,49.6107,545,2015/05/31 00:00:00+00,Partially Verified,Europe,1,,Eritrea,Horn of Africa,From Calais to the UK,A16 Highway at the entrance to the Eurotunnel.,,1,,,Calais Migrant Solidarity,http://bit.ly/1OOb8Ik,,Yes,Hit by vehicle,,
,,546,2015/05/30 00:00:00+00,Verified,Mediterranean,17,8,Ivory Coast (1) Unknown (16),,Central Mediterranean,,,,,,IOM Rome,http://missingmigrants.iom.int/node/914,,Yes,,,
